Latitude,Longitude,Sentiment,Number of Tweets
36,-107,-0.514829549,40
36,-106,-0.828205494,12
36,-105,2.271992178,33
36,-103,0.15330863,2
36,-102,2.416181326,3
36,-101,3.077386081,4
36,-100,2.968275468,6
36,-99,-2.505450845,4
36,-98,0.279389381,1
36,-97,1.67526559,40
36,-96,1.993171558,40
36,-95,1.93178599,39
36,-94,1.388684578,28
36,-93,2.667808475,39
36,-92,2.215033975,9
36,-91,2.407161652,29
36,-90,3.683880473,40
36,-89,0.085289054,40
36,-88,0.605339471,40
36,-87,0.183121694,23
36,-86,1.427980731,39
36,-85,3.165201515,40
36,-84,1.062961174,38
36,-83,1.729376606,39
36,-82,2.116863471,40
36,-81,-1.763850827,40
36,-80,0.993917524,40
36,-79,1.44473319,40
36,-78,3.512818511,40
36,-77,3.774270596,40
36,-76,3.04876954,40
36,-75,1.447719349,24
37,-122,-0.036735634,13
37,-121,5.050660035,40
37,-120,3.99026005,40
37,-119,5.152177155,40
37,-116,1.337318691,40
37,-114,0.374464193,20
37,-113,2.67128239,37
37,-112,1.82526609,31
37,-110,9.751924992,2
37,-109,0.872882631,19
37,-108,1.606945461,24
37,-107,1.039695773,40
37,-106,2.167304926,8
37,-105,1.971562261,21
37,-101,-0.681719244,1
37,-100,1.577479482,1
37,-99,-3.346489429,1
37,-98,1.44486396,4
37,-97,-0.896998831,7
37,-96,-1.21327752,5
37,-95,2.093795234,24
37,-94,3.197909368,40
37,-93,3.845822622,40
37,-92,0.345695291,40
37,-91,0.557374755,22
37,-90,1.143574653,17
37,-89,2.069920786,40
37,-88,9.270186085,40
37,-87,9.076697735,40
37,-86,1.043657345,39
37,-85,0.81420803,40
37,-84,1.327178611,40
37,-83,1.763064626,40
37,-82,5.449381606,40
37,-81,0.646772466,40
37,-80,2.34423556,40
37,-79,1.709114703,40
37,-78,3.311252982,40
37,-77,3.116270163,40
37,-76,6.75075058,40
38,-123,7.37830358,40
38,-122,-1.794031522,40
38,-121,-1.708806065,40
38,-120,0.900754432,40
38,-119,0.294649641,40
38,-117,2.82182008,8
38,-115,4.859697143,3
38,-113,2.969426274,2
38,-112,2.684318232,19
38,-111,-0.714687943,2
38,-110,-0.714687943,2
38,-109,4.973881289,4
38,-108,-4.036584377,1
38,-107,-1.190664079,30
38,-106,-1.939183921,4
38,-105,-1.464024862,3
38,-104,1.947628154,40
38,-103,1.937773726,40
38,-102,0.9426274,3
38,-101,-1.381627753,2
38,-100,4.81063363,4
38,-99,5.065625668,1
38,-98,2.969752094,22
38,-97,4.159983705,40
38,-96,1.946844773,40
38,-95,3.005311055,9
38,-94,1.328465515,35
38,-93,1.328465515,35
38,-92,3.480909793,40
38,-91,3.422384263,40
38,-90,2.681341604,40
38,-89,4.739561694,40
38,-88,1.248813696,40
38,-87,2.893294955,40
38,-86,0.945947998,40
38,-85,3.08771775,40
38,-84,4.416325925,40
38,-83,2.78863169,40
38,-82,1.638094455,37
38,-81,3.628524554,40
38,-80,1.383935465,40
38,-79,3.637482217,30
38,-78,6.904645962,36
38,-77,6.329964812,40
38,-76,0.314901837,40
38,-75,0.314901837,40
38,-74,0.79485697,40
38,-71,-1.592144966,1
39,-124,4.494269208,38
39,-123,4.027304264,13
39,-122,0.935084823,38
39,-121,1.782053587,40
39,-120,3.484045236,40
39,-119,1.870998042,40
39,-118,-0.331289828,4
39,-117,2.851849318,1
39,-115,-2.291717041,5
39,-114,15.88837528,1
39,-113,-0.58024923,6
39,-112,1.405093193,8
39,-111,2.418811993,13
39,-110,3.381653766,12
39,-109,0.397568583,4
